Year,Field,Rank,University,Count
1980,8.5 Zentrale Verwaltung (bis 2001),Other Lecturers,UZH,0
1980,8.5 Zentrale Verwaltung (bis 2001),Assistants & Research Staff,UZH,0
1980,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professors,UZH,0
1980,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Other Lecturers,UZH,0
1980,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistants & Research Staff,UZH,0
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professors,UZH,0
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Other Lecturers,UZH,0
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistants & Research Staff,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professors,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Other Lecturers,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistants & Research Staff,UZH,0
1980,99.99 Fach nicht zuteilbar,Professors,UZH,0
1980,99.99 Fach nicht zuteilbar,Other Lecturers,UZH,0
1980,99.99 Fach nicht zuteilbar,Assistants & Research Staff,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professors,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Other Lecturers,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistants & Research Staff,UZH,0
1980,8.1 Zentrale Verwaltung,Professors,UZH,0
1980,8.1 Zentrale Verwaltung,Other Lecturers,UZH,0
1980,8.1 Zentrale Verwaltung,Assistants & Research Staff,UZH,0
1980,8.2 Zentrale Bibliotheken,Professors,UZH,0
1980,8.2 Zentrale Bibliotheken,Other Lecturers,UZH,0
1980,8.2 Zentrale Bibliotheken,Assistants & Research Staff,UZH,0
1980,8.3 Technische Dienste und Logistik,Professors,UZH,0
1980,8.3 Technische Dienste und Logistik,Other Lecturers,UZH,0
1980,8.3 Technische Dienste und Logistik,Assistants & Research Staff,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professors,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Other Lecturers,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistants & Research Staff,UZH,0
1981,1.1 Theologie,Professors,UZH,12
1981,1.1 Theologie,Other Lecturers,UZH,27
1981,1.1 Theologie,Assistants & Research Staff,UZH,16
1981,1.2 Sprach- und Literaturwissenschaften,Professors,UZH,39
1981,1.2 Sprach- und Literaturwissenschaften,Other Lecturers,UZH,157
1981,1.2 Sprach- und Literaturwissenschaften,Assistants & Research Staff,UZH,46
1981,1.3 Historische und Kulturwissenschaften,Professors,UZH,29
1981,1.3 Historische und Kulturwissenschaften,Other Lecturers,UZH,92
1981,1.3 Historische und Kulturwissenschaften,Assistants & Research Staff,UZH,59
1981,1.4 Sozialwissenschaften,Professors,UZH,6
1981,1.4 Sozialwissenschaften,Other Lecturers,UZH,82
1981,1.4 Sozialwissenschaften,Assistants & Research Staff,UZH,65
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professors,UZH,13
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Other Lecturers,UZH,92
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,12
1981,2 Wirtschaftswissenschaften,Professors,UZH,20
1981,2 Wirtschaftswissenschaften,Other Lecturers,UZH,76
1981,2 Wirtschaftswissenschaften,Assistants & Research Staff,UZH,80
1981,3 Recht,Professors,UZH,24
1981,3 Recht,Other Lecturers,UZH,62
1981,3 Recht,Assistants & Research Staff,UZH,70
1981,4.1 Exakte Wissenschaften,Professors,UZH,25
1981,4.1 Exakte Wissenschaften,Other Lecturers,UZH,46
1981,4.1 Exakte Wissenschaften,Assistants & Research Staff,UZH,48
1981,4.2 Naturwissenschaften,Professors,UZH,47
1981,4.2 Naturwissenschaften,Other Lecturers,UZH,200
1981,4.2 Naturwissenschaften,Assistants & Research Staff,UZH,170
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professors,UZH,0
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1981,5.1 Humanmedizin,Professors,UZH,85
1981,5.1 Humanmedizin,Other Lecturers,UZH,429
1981,5.1 Humanmedizin,Assistants & Research Staff,UZH,105
1981,5.2 Zahnmedizin,Professors,UZH,8
1981,5.2 Zahnmedizin,Other Lecturers,UZH,55
1981,5.2 Zahnmedizin,Assistants & Research Staff,UZH,63
1981,5.3 Veterinärmedizin,Professors,UZH,12
1981,5.3 Veterinärmedizin,Other Lecturers,UZH,64
1981,5.3 Veterinärmedizin,Assistants & Research Staff,UZH,63
1981,5.4 Pharmazie,Professors,UZH,0
1981,5.4 Pharmazie,Other Lecturers,UZH,0
1981,5.4 Pharmazie,Assistants & Research Staff,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Professors,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Other Lecturers,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Assistants & Research Staff,UZH,0
1981,6.1 Bauwesen und Geodäsie,Professors,UZH,0
1981,6.1 Bauwesen und Geodäsie,Other Lecturers,UZH,0
1981,6.1 Bauwesen und Geodäsie,Assistants & Research Staff,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Professors,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Other Lecturers,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistants & Research Staff,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Professors,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Other Lecturers,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Assistants & Research Staff,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Professors,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1981,7 Interdisziplinäre und Andere,Professors,UZH,0
1981,7 Interdisziplinäre und Andere,Other Lecturers,UZH,0
1981,7 Interdisziplinäre und Andere,Assistants & Research Staff,UZH,0
1981,8.5 Zentrale Verwaltung (bis 2001),Professors,UZH,0
1981,8.5 Zentrale Verwaltung (bis 2001),Other Lecturers,UZH,1
1981,8.5 Zentrale Verwaltung (bis 2001),Assistants & Research Staff,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professors,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Other Lecturers,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistants & Research Staff,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professors,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Other Lecturers,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistants & Research Staff,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professors,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Other Lecturers,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistants & Research Staff,UZH,0
1981,99.99 Fach nicht zuteilbar,Professors,UZH,0
1981,99.99 Fach nicht zuteilbar,Other Lecturers,UZH,0
1981,99.99 Fach nicht zuteilbar,Assistants & Research Staff,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professors,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Other Lecturers,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistants & Research Staff,UZH,0
1981,8.1 Zentrale Verwaltung,Professors,UZH,0
1981,8.1 Zentrale Verwaltung,Other Lecturers,UZH,0
1981,8.1 Zentrale Verwaltung,Assistants & Research Staff,UZH,0
1981,8.2 Zentrale Bibliotheken,Professors,UZH,0
1981,8.2 Zentrale Bibliotheken,Other Lecturers,UZH,0
1981,8.2 Zentrale Bibliotheken,Assistants & Research Staff,UZH,0
1981,8.3 Technische Dienste und Logistik,Professors,UZH,0
1981,8.3 Technische Dienste und Logistik,Other Lecturers,UZH,0
1981,8.3 Technische Dienste und Logistik,Assistants & Research Staff,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professors,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Other Lecturers,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistants & Research Staff,UZH,0
1982,1.1 Theologie,Professors,UZH,12
1982,1.1 Theologie,Other Lecturers,UZH,24
1982,1.1 Theologie,Assistants & Research Staff,UZH,19
1982,1.2 Sprach- und Literaturwissenschaften,Professors,UZH,40
1982,1.2 Sprach- und Literaturwissenschaften,Other Lecturers,UZH,147
1982,1.2 Sprach- und Literaturwissenschaften,Assistants & Research Staff,UZH,74
1982,1.3 Historische und Kulturwissenschaften,Professors,UZH,28
1982,1.3 Historische und Kulturwissenschaften,Other Lecturers,UZH,76
1982,1.3 Historische und Kulturwissenschaften,Assistants & Research Staff,UZH,68
1982,1.4 Sozialwissenschaften,Professors,UZH,18
1982,1.4 Sozialwissenschaften,Other Lecturers,UZH,169
1982,1.4 Sozialwissenschaften,Assistants & Research Staff,UZH,74
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professors,UZH,0
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,12
1982,2 Wirtschaftswissenschaften,Professors,UZH,20
1982,2 Wirtschaftswissenschaften,Other Lecturers,UZH,69
1982,2 Wirtschaftswissenschaften,Assistants & Research Staff,UZH,96
1982,3 Recht,Professors,UZH,23
1982,3 Recht,Other Lecturers,UZH,63
1982,3 Recht,Assistants & Research Staff,UZH,73
1982,4.1 Exakte Wissenschaften,Professors,UZH,24
1982,4.1 Exakte Wissenschaften,Other Lecturers,UZH,38
1982,4.1 Exakte Wissenschaften,Assistants & Research Staff,UZH,61
1982,4.2 Naturwissenschaften,Professors,UZH,50
1982,4.2 Naturwissenschaften,Other Lecturers,UZH,148
1982,4.2 Naturwissenschaften,Assistants & Research Staff,UZH,242
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professors,UZH,0
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Other Lecturers,UZH,1
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1982,5.1 Humanmedizin,Professors,UZH,84
1982,5.1 Humanmedizin,Other Lecturers,UZH,370
1982,5.1 Humanmedizin,Assistants & Research Staff,UZH,196
1982,5.2 Zahnmedizin,Professors,UZH,8
1982,5.2 Zahnmedizin,Other Lecturers,UZH,34
1982,5.2 Zahnmedizin,Assistants & Research Staff,UZH,91
1982,5.3 Veterinärmedizin,Professors,UZH,13
1982,5.3 Veterinärmedizin,Other Lecturers,UZH,33
1982,5.3 Veterinärmedizin,Assistants & Research Staff,UZH,103
1982,5.4 Pharmazie,Professors,UZH,4
1982,5.4 Pharmazie,Other Lecturers,UZH,1
1982,5.4 Pharmazie,Assistants & Research Staff,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Professors,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Other Lecturers,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Assistants & Research Staff,UZH,1
1982,6.1 Bauwesen und Geodäsie,Professors,UZH,0
1982,6.1 Bauwesen und Geodäsie,Other Lecturers,UZH,0
1982,6.1 Bauwesen und Geodäsie,Assistants & Research Staff,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Professors,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Other Lecturers,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistants & Research Staff,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Professors,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Other Lecturers,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Assistants & Research Staff,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Professors,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1982,7 Interdisziplinäre und Andere,Professors,UZH,0
1982,7 Interdisziplinäre und Andere,Other Lecturers,UZH,0
1982,7 Interdisziplinäre und Andere,Assistants & Research Staff,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Professors,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Other Lecturers,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Assistants & Research Staff,UZH,1
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professors,UZH,0
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Other Lecturers,UZH,0
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistants & Research Staff,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professors,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Other Lecturers,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistants & Research Staff,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professors,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Other Lecturers,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistants & Research Staff,UZH,0
1982,99.99 Fach nicht zuteilbar,Professors,UZH,0
1982,99.99 Fach nicht zuteilbar,Other Lecturers,UZH,0
1982,99.99 Fach nicht zuteilbar,Assistants & Research Staff,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professors,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Other Lecturers,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistants & Research Staff,UZH,0
1982,8.1 Zentrale Verwaltung,Professors,UZH,0
1982,8.1 Zentrale Verwaltung,Other Lecturers,UZH,0
1982,8.1 Zentrale Verwaltung,Assistants & Research Staff,UZH,0
1982,8.2 Zentrale Bibliotheken,Professors,UZH,0
1982,8.2 Zentrale Bibliotheken,Other Lecturers,UZH,0
1982,8.2 Zentrale Bibliotheken,Assistants & Research Staff,UZH,0
1982,8.3 Technische Dienste und Logistik,Professors,UZH,0
1982,8.3 Technische Dienste und Logistik,Other Lecturers,UZH,0
1982,8.3 Technische Dienste und Logistik,Assistants & Research Staff,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professors,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Other Lecturers,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistants & Research Staff,UZH,0
1983,1.1 Theologie,Professors,UZH,11
1983,1.1 Theologie,Other Lecturers,UZH,23
1983,1.1 Theologie,Assistants & Research Staff,UZH,19
1983,1.2 Sprach- und Literaturwissenschaften,Professors,UZH,40
1983,1.2 Sprach- und Literaturwissenschaften,Other Lecturers,UZH,148
1983,1.2 Sprach- und Literaturwissenschaften,Assistants & Research Staff,UZH,76
1983,1.3 Historische und Kulturwissenschaften,Professors,UZH,30
1983,1.3 Historische und Kulturwissenschaften,Other Lecturers,UZH,79
1983,1.3 Historische und Kulturwissenschaften,Assistants & Research Staff,UZH,65
1983,1.4 Sozialwissenschaften,Professors,UZH,17
1983,1.4 Sozialwissenschaften,Other Lecturers,UZH,145
1983,1.4 Sozialwissenschaften,Assistants & Research Staff,UZH,78
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professors,UZH,0
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Other Lecturers,UZH,2
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,13
1983,2 Wirtschaftswissenschaften,Professors,UZH,22
1983,2 Wirtschaftswissenschaften,Other Lecturers,UZH,73
1983,2 Wirtschaftswissenschaften,Assistants & Research Staff,UZH,91
1983,3 Recht,Professors,UZH,25
1983,3 Recht,Other Lecturers,UZH,66
1983,3 Recht,Assistants & Research Staff,UZH,75
1983,4.1 Exakte Wissenschaften,Professors,UZH,25
1983,4.1 Exakte Wissenschaften,Other Lecturers,UZH,42
1983,4.1 Exakte Wissenschaften,Assistants & Research Staff,UZH,59
1983,4.2 Naturwissenschaften,Professors,UZH,48
1983,4.2 Naturwissenschaften,Other Lecturers,UZH,167
1983,4.2 Naturwissenschaften,Assistants & Research Staff,UZH,230
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professors,UZH,0
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Other Lecturers,UZH,1
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1983,5.1 Humanmedizin,Professors,UZH,83
1983,5.1 Humanmedizin,Other Lecturers,UZH,399
1983,5.1 Humanmedizin,Assistants & Research Staff,UZH,195
1983,5.2 Zahnmedizin,Professors,UZH,7
1983,5.2 Zahnmedizin,Other Lecturers,UZH,37
1983,5.2 Zahnmedizin,Assistants & Research Staff,UZH,87
1983,5.3 Veterinärmedizin,Professors,UZH,13
1983,5.3 Veterinärmedizin,Other Lecturers,UZH,38
1983,5.3 Veterinärmedizin,Assistants & Research Staff,UZH,106
1983,5.4 Pharmazie,Professors,UZH,5
1983,5.4 Pharmazie,Other Lecturers,UZH,1
1983,5.4 Pharmazie,Assistants & Research Staff,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Professors,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Other Lecturers,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Assistants & Research Staff,UZH,1
1983,6.1 Bauwesen und Geodäsie,Professors,UZH,0
1983,6.1 Bauwesen und Geodäsie,Other Lecturers,UZH,0
1983,6.1 Bauwesen und Geodäsie,Assistants & Research Staff,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Professors,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Other Lecturers,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistants & Research Staff,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Professors,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Other Lecturers,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Assistants & Research Staff,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Professors,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Other Lecturers,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,0
1983,7 Interdisziplinäre und Andere,Professors,UZH,0
1983,7 Interdisziplinäre und Andere,Other Lecturers,UZH,0
1983,7 Interdisziplinäre und Andere,Assistants & Research Staff,UZH,0
1983,8.5 Zentrale Verwaltung (bis 2001),Professors,UZH,0
1983,8.5 Zentrale Verwaltung (bis 2001),Other Lecturers,UZH,0
1983,8.5 Zentrale Verwaltung (bis 2001),Assistants & Research Staff,UZH,1
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professors,UZH,0
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Other Lecturers,UZH,0
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistants & Research Staff,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professors,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Other Lecturers,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistants & Research Staff,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professors,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Other Lecturers,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistants & Research Staff,UZH,0
1983,99.99 Fach nicht zuteilbar,Professors,UZH,0
1983,99.99 Fach nicht zuteilbar,Other Lecturers,UZH,0
1983,99.99 Fach nicht zuteilbar,Assistants & Research Staff,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professors,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Other Lecturers,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistants & Research Staff,UZH,0
1983,8.1 Zentrale Verwaltung,Professors,UZH,0
1983,8.1 Zentrale Verwaltung,Other Lecturers,UZH,0
1983,8.1 Zentrale Verwaltung,Assistants & Research Staff,UZH,0
1983,8.2 Zentrale Bibliotheken,Professors,UZH,0
1983,8.2 Zentrale Bibliotheken,Other Lecturers,UZH,0
1983,8.2 Zentrale Bibliotheken,Assistants & Research Staff,UZH,0
1983,8.3 Technische Dienste und Logistik,Professors,UZH,0
1983,8.3 Technische Dienste und Logistik,Other Lecturers,UZH,0
1983,8.3 Technische Dienste und Logistik,Assistants & Research Staff,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professors,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Other Lecturers,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistants & Research Staff,UZH,0
1984,1.1 Theologie,Professors,UZH,12
1984,1.1 Theologie,Other Lecturers,UZH,24
1984,1.1 Theologie,Assistants & Research Staff,UZH,32
1984,1.2 Sprach- und Literaturwissenschaften,Professors,UZH,40
1984,1.2 Sprach- und Literaturwissenschaften,Other Lecturers,UZH,155
1984,1.2 Sprach- und Literaturwissenschaften,Assistants & Research Staff,UZH,72
1984,1.3 Historische und Kulturwissenschaften,Professors,UZH,31
1984,1.3 Historische und Kulturwissenschaften,Other Lecturers,UZH,89
1984,1.3 Historische und Kulturwissenschaften,Assistants & Research Staff,UZH,68
1984,1.4 Sozialwissenschaften,Professors,UZH,18
1984,1.4 Sozialwissenschaften,Other Lecturers,UZH,154
1984,1.4 Sozialwissenschaften,Assistants & Research Staff,UZH,85
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professors,UZH,0
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Other Lecturers,UZH,1
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistants & Research Staff,UZH,409
1984,2 Wirtschaftswissenschaften,Professors,UZH,21
1984,2 Wirtschaftswissenschaften,Other Lecturers,UZH,74
1984,2 Wirtschaftswissenschaften,Assistants & Research Staff,UZH,102
1984,3 Recht,Professors,UZH,27
1984,3 Recht,Other Lecturers,UZH,67
1984,3 Recht,Assistants & Research Staff,UZH,90
1984,4.1 Exakte Wissenschaften,Professors,UZH,25
1984,4.1 Exakte Wissenschaften,Other Lecturers,UZH,45
1984,4.1 Exakte Wissenschaften,Assistants & Research Staff,UZH,61
1984,4.2 Naturwissenschaften,Professors,UZH,46
1984,4.2 Naturwissenschaften,Other Lecturers,UZH,179
1984,4.2 Naturwissenschaften,Assistants & Research Staff,UZH,224
